SRR27190676,SRR27190684,SRR27190685,SRR27190700,SRR27190708,SRR27190710
10.5584,5.799,13.56590519423,0,17.9995,25.8451313482
0,0,0,0,0,0
130.6925,463.01188304368,328.778600396311,225.99982457718,314.7574601688,285.82747302309997
123.33805,188.97093999999998,309.5102,182.59239000000002,191.85916090455999,174.52004000000002
1256.2786652246,1356.0008500000001,2047.9564285820002,1374.9968303900637,1765.0092108294098,1446.009041514
135.72787999999997,88.8427,147.11630000000002,122.7406,165.42520901615998,184.64950000000002
713.878147,2096.5311500000003,1131.2071,1221.40151,1645.21392,994.8788388763428
2,5,11,0,10,3
1639.7467602782767,2687.3234963914897,3904.1636664983707,2416.7564210107257,3640.1058482999997,2670.9049868968414
197,303.90171875549,384.5478630288,200.25979147645,398.99372392092704,271.2627113181
152.00000431360968,144.19258,278.45655999999997,173.74089999999998,272.91212,223.73667999999998
1307.996,1608.8297000000002,2920.9986999999996,1706.6517,2718.5762000000004,1926.2554000000002
133.00060000000002,131.36525,246.8138000957708,92.07751,281.1662,286.34918209240897
5321.001180000001,6336.61065,11810.709150016755,6229.436007839199,9545.00693608683,9263.25598
0,9,12,4.0037,10,20
0,0,1,7,0,0
209.999568800848,254.00007579,353.9999570053,170,240.000031356435,336.0657033342297
213.55281,466.05022834700003,463.00033600000006,191.8401,350.99975063614,330.064498412
3394.6889499999997,6417.64483,4569.54695,4347.6465706894705,6969.727270000001,5210.9830600000005
5.99999621012,5.000004313000001,13,26,22.999985334,61.9999438279539
1432.9998633401476,1722.9995863731183,3074.9998105284585,1858.9989725758055,2994.9992898932005,2196.2198819819
388.99944350000004,561.4603755293987,625.0273136975,329.99971782500006,644.3571808914247,527.6374243318
13.6689,2.03984,18.056430000000002,8.01687,14.00001,25
83.3821,130.48820999999998,311.81072206000005,111.99995999999999,201.59527999999997,203.50295
774.3503499999999,721.0034300994392,1221.0512800000001,668.454740337518,859.9995200000001,1166.277044147325
188.063087382,324.1865093591696,607.54110029387,217.2034391775009,472.3515260162739,370.304066449615
40.00005,89,105.999983,50.000004673999996,58.00005,87.9999600149802
32,61,175,18,45.99996,206.98176
19331.004477533897,38228.0115,29807.011900000005,39775.97794999999,40893.748400000004,28617.02886
95.481433,94.0001100128616,125.4832129,99.0003722729,77.00004001257881,91.61448346411
2.1904500000000002,9,0,0,0,1
121.86719936469001,285.82568798393,124.5947990347,72.74605600000001,243.043220747,328.19027811849094
995.210417917617,1135.7188130355303,1906.5988200089,1822.8020182874,1977.4238553134978,1518.4528027157337
6709.540881171,888.3889799999998,3178.9755641163,106.62950000000001,967.1615096109999,356.43354
23.999990000000004,120.99994,14,17.000026,46.99997,27.00054
88.00202,60.001080169461005,86.26438999999999,25.000049999999998,60.999970000000005,86.46799999999999
422.33189129,777.619504522874,1199.0465950153584,1035.0513783770866,1283.18808212239,713.44339
1602.9999416,1693.9996199999998,1002.99985944,7469.00622,2134.0017,256.9998
1063.68306490658,2689.65113260405,2368.240837038078,1906.3211937952701,2892.66562019,1918.8957417742
0,0,0,1,2,0
1911.0004889383004,4357.000370000001,2952.00229,2545.01373,3673.093280105931,2829.0023199999996
2166.1906944019997,7728.92945,6056.895306040299,6890.013400000001,11006.538382864,3101.125770070096
1.7430590000000001,10.14957,2,5,0,9.217168
3728.00049288723,6936.001937966999,6948.002487142291,7024.998320000001,8440.00607084133,5178.995488956609
257.43138,375.3150400104522,583.0001,251.9995577569,425.04517895000004,480.30348
132.2404,437.0003794267,432.99958849999996,453.00054000000006,238.01015092,411.1059
417.0003,717.0006977029999,1130.0001,533,733.0222,605.0001
1078.19756,1070.22489,1522.5208499999999,1229.8827700000002,1306.4768,1583.99039
2540.0600001412067,3865.8405999999995,3826.6874,3010.6889,4003.5909000000006,3624.59
43.0001,23.55145,38.6342,5.080690000000001,18.2392,29.49847
3.17969,4,9.046,2,9.003499999999999,1.00171
67455.02914506519,256436.4163704896,258047.25550494101,647004.29698887025,115578.89960315381,122303.04572560062
7812.542631000001,13101.57626,12255.50507,11166.270339999997,11600.123810000003,9531.570630073427
3046.1578393968716,5234.769889881661,2807.7485433538504,2390.0747057768,2496.218277442962,3553.2823371418644
86.62730707699997,147.988089153153,238.31158999999997,96.22846,219.5432201837,128.1544940429614
53.03324,37.9371,87.26633000000001,20.2391,49,57.02147
1360.0125821049,2794.01516,2739.0560499999992,1354.9995800357592,2521.9974,1565.43593
80.2273,94,85,61.999985242,85.99994000000001,120
369.6581000990393,357.80871999999994,933.0323047375499,405.98776,645.7998299999999,643.069
343.0779926688053,377.89766000000003,404.7285472080338,1062.9141004982082,364.65141788000005,261.48519579310585
1225.300433303,1743.9767874578197,2210.0167100409,1848.0765500000002,2696.31683,1476.7962870947001
524.08092,441.33933430300004,146.3335361886,48.38792,720.29215,790.588565
442.00010000000003,510.00014999999996,366.00016999999997,586.0000799999999,538.9999,557.0397
22.42866,30.4171,24.744280000000003,13.434348714,17.295910000000003,37.16241
39,164.99998,88,82,49.00000596803999,42.00003
2379.373597,2988.87657,8118.074194063909,1982.00002,6112.739360899999,7319.995914149999
2481.8491749307877,4001.5601,4301.853532565784,3494.1026356000007,6545.745032362701,4465.0681700000005
107,153.99953000000002,302,121,212.0005,265.0000000236191
510.22090149903994,427.89538961079995,641.74246,370.20533,645.095117,845.477130268713
2562.0004000000004,4200.995422614201,3258.0000002919965,3351.0045,3930.9964,3063.9994142
7740.970030648669,12700.508092929998,13100.2138,10158.31576,11371.650728,9334.406141119998
116.03730999999999,280.85446,299.63318,364.002289,414.99952,201.3379
371.99934018690294,358.04896999999994,530.2381094,392.99919,528.06921,654.0715200000001
228.57969999999997,260.1229703735346,155.971,159.01917283,206.26676,236.1297800648692
601.0007,933.9989,967.9994,1481.9998,1046.9993000000002,473.00073
402.37,559.2311000000001,543.95341,404.137,692.29135,625.5098300000001
2797.2427602626567,2950.8232900000003,7370.00077,1994.9994999999997,4948.45186,4353.91034
103.43740000000001,185.62077761170002,219.8155643,96.248083,200.73961000000003,239.73800941000002
378.98308000000003,301.46195,612.8680709117759,245.4971127947103,397.196660973156,560.1247348560045
26262.917299999997,43375.39287999999,32911.2714,32991.691100000004,40126.57861,30186.878800000002
0,0,0,0,9,0
1226.623539159647,2679.58782,1713.6185467125501,2512.9146019920818,2254.7446517,1503.2720557459998
1196.6041301257417,1196.2651294441105,2213.248615194632,905.2793285763654,1863.0806630245997,1879.949705692
0,1,0,0,1,0
670.71091,584.50405,1256.81771,630.6781040000001,1085.2386423599999,864.55219
48.727000000000004,75.16657,95.97407000000001,24.557275,128.88145,62.185590000000005
